栅格ID,小区ID,天线水平倾斜角,天线垂直倾斜角,距离,天线高度,RSRP
1411,481358_101520,17854861,19,350,339,26,-91
429,481361_101496,125890571,30,355,162,25,-109
328,481358_101495,125890571,57,4,139,25,-97
1313,481321_101537,125932299,287,357,325,25,-96
493,481379_101484,125870872,89,87,174,45,-98
3005,481379_101581,125890330,163,169,1665,32,-93
597,481371_101495,125870872,316,13,194,45,-104
776,481357_101509,125890571,275,41,229,25,-88
1208,481357_101519,125931787,20,355,306,29,-101
2406,481358_101488,125931787,123,165,624,29,-108
655,481356_101510,17854861,64,3,205,26,-108
611,481361_101506,125890571,307,356,197,25,-110
613,481381_101486,125870872,70,31,197,45,-93
2965,481371_101577,125932299,24,344,1481,25,-93
1462,481361_101496,125870872,275,50,347,45,-109
1518,481386_101495,125870872,30,3,357,45,-110
1188,481354_101488,125890571,91,101,303,25,-93
854,481375_101497,125870872,343,6,243,45,-101
2264,481374_101514,125890571,317,348,552,25,-102
2300,481318_101548,125932299,305,347,570,25,-82
2384,481381_101507,125890571,339,347,613,25,-94
973,481311_101559,125890330,73,15,265,32,-104
1430,481362_101511,17854861,59,354,342,26,-103
2058,481321_101545,125932299,307,347,469,25,-88
3166,481440_101460,125890571,20,345,2191,25,-119
2120,481345_101483,125890571,115,158,491,25,-120
626,481379_101493,125870872,18,8,200,45,-100
646,481357_101492,125890571,73,10,204,25,-102
1259,481368_101505,125890571,332,350,314,25,-102
714,481379_101494,125870872,13,7,217,45,-99
